# == pyFAI calibration ==
# Distance Sample to Detector: 2.9997704 m
# PONI: 4.785e-01, 4.477e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2999.770 mm
# Center: x=59.700, y=63.800 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.99764e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1
# --> AL_P188_Px10mgml_f5370359_r1d.csv
#        q_A^-1              I           sigma 
  2.256700e-01    4.577705e+01   1.674530e+00
  2.262119e-01    4.537149e+01   1.698508e+00
  2.267538e-01    4.493995e+01   1.743981e+00
  2.272957e-01    4.482066e+01   1.735244e+00
  2.278376e-01    4.475193e+01   1.761371e+00
  2.283795e-01    4.447008e+01   1.749360e+00
  2.289214e-01    4.428798e+01   1.683054e+00
  2.294633e-01    4.428369e+01   1.722597e+00
  2.300052e-01    4.438395e+01   1.727251e+00
  2.305471e-01    4.463832e+01   1.738085e+00
  2.310890e-01    4.489703e+01   1.714167e+00
  2.316309e-01    4.481573e+01   1.735671e+00
  2.321728e-01    4.502351e+01   1.822253e+00
  2.327147e-01    4.513901e+01   1.814415e+00
  2.332566e-01    4.510200e+01   1.872309e+00
  2.337985e-01    4.532622e+01   1.935252e+00
  2.343404e-01    4.502521e+01   1.986360e+00
  2.348823e-01    4.499697e+01   1.962972e+00
  2.354242e-01    4.452865e+01   1.970253e+00
  2.359661e-01    4.433474e+01   1.988533e+00
  2.365080e-01    4.412560e+01   1.929537e+00
  2.370499e-01    4.416338e+01   1.909974e+00
  2.375918e-01    4.472145e+01   1.909237e+00
  2.381337e-01    4.405982e+01   1.891012e+00
  2.386756e-01    4.378862e+01   1.897872e+00
  2.392175e-01    4.356124e+01   1.990877e+00
  2.397594e-01    4.375700e+01   2.073979e+00
  2.403013e-01    4.354874e+01   2.093703e+00
  2.408432e-01    4.342864e+01   2.118947e+00
  2.413851e-01    4.366522e+01   2.176444e+00
  2.419270e-01    4.314942e+01   2.200569e+00
  2.424689e-01    4.340727e+01   2.180181e+00
  2.430108e-01    4.364933e+01   2.225357e+00
  2.435527e-01    4.381171e+01   2.205266e+00
  2.440946e-01    4.350936e+01   2.189754e+00
  2.446365e-01    4.375996e+01   2.098510e+00
  2.451784e-01    4.352061e+01   2.124193e+00
  2.457203e-01    4.287606e+01   2.113922e+00
  2.462622e-01    4.290897e+01   2.065386e+00
